0: {n: 10, s: 2, e: 4, w: 1}
1: {n: null, s: null, e: 0, w: null}
2: {n: 0, s: 6, e: 3, w: null}
3: {n: null, s: 9, e: 5, w: 2}
4: {n: 23, s: null, e: 13, w: 0}
5: {n: null, s: null, e: null, w: 3}
6: {n: 2, s: null, e: null, w: 7}
7: {n: 8, s: null, e: 6, w: 56}
8: {n: null, s: 7, e: null, w: 16}
9: {n: 3, s: 12, e: 11, w: null}
10: {n: 19, s: 0, e: null, w: 43}
11: {n: null, s: null, e: 17, w: 9}
12: {n: 9, s: 18, e: 14, w: 21}
13: {n: null, s: null, e: 15, w: 4}
14: {n: null, s: 34, e: 37, w: 12}
15: {n: null, s: null, e: null, w: 13}
16: {n: 58, s: null, e: 8, w: 67}
17: {n: 24, s: null, e: 42, w: 11}
18: {n: 12, s: 22, e: null, w: 25}
19: {n: 20, s: 10, e: null, w: 77}
20: {n: 63, s: 19, e: 27, w: 46}
21: {n: null, s: null, e: 12, w: "?"}
22: {n: 18, s: 78, e: null, w: 36}
23: {n: null, s: 4, e: 26, w: null}
24: {n: null, s: 17, e: null, w: null}
25: {n: null, s: null, e: 18, w: null}
26: {n: null, s: null, e: 55, w: 23}
27: {n: 40, s: 28, e: 30, w: 20}
28: {n: 27, s: null, e: null, w: null}
30: {n: null, s: 31, e: 32, w: 27}
31: {n: 30, s: null, e: 33, w: null}
32: {n: 39, s: null, e: 54, w: 30}
33: {n: null, s: 33, e: 38, w: 31}
34: {n: 14, s: 50, e: 35, w: null}
35: {n: null, s: 52, e: null, w: 34}
36: {n: null, s: 48, e: 22, w: null}
37: {n: null, s: null, e: null, w: 14}
38: {n: null, s: 59, e: 66, w: 33}
39: {n: 53, s: 32, e: 51, w: 41}
40: {n: null, s: 27, e: null, w: null}
41: {n: null, s: null, e: 39, w: null}
42: {n: 44, s: 80, e: 118, w: 17}
43: {n: null, s: null, e: 10, w: 47}
44: {n: null, s: 42, e: null, w: null}
46: {n: null, s: null, e: 20, w: 62}
47: {n: 71, s: null, e: 43, w: null}
48: {n: 36, s: 105, e: null, w: 149}
50: {n: 34, s: 89, e: null, w: null}
51: {n: 69, s: null, e: 57, w: 39}
52: {n: 35, s: 68, e: 75, w: null}
53: {n: 95, s: 39, e: null, w: "?"}
54: {n: null, s: null, e: null, w: 32}
55: {n: null, s: null, e: null, w: 26}
56: {n: null, s: null, e: 7, w: 61}
57: {n: null, s: null, e: 145, w: 51}
58: {n: null, s: 16, e: null, w: 65}
59: {n: 38, s: 104, e: 92, w: null}
61: {n: null, s: null, e: 56, w: 171}
62: {n: 64, s: null, e: 46, w: "?"}
63: {n: 72, s: 20, e: null, w: 73}
64: {n: null, s: 62, e: null, w: "?"}
65: {n: 74, s: null, e: 58, w: 139}
66: {n: 169, s: null, e: 123, w: 38}
67: {n: null, s: null, e: 16, w: "?"}
68: {n: 52, s: null, e: "?", w: null}
69: {n: 94, s: 51, e: 103, w: null}
71: {n: null, s: 47, e: null, w: null}
72: {n: null, s: 63, e: null, w: 76}
73: {n: null, s: null, e: 63, w: null}
74: {n: 87, s: 65, e: null, w: 161}
75: {n: null, s: null, e: 85, w: 52}
76: {n: 83, s: null, e: 72, w: 110}
77: {n: null, s: null, e: 19, w: null}
78: {n: 22, s: 108, e: null, w: null}
80: {n: 42, s: "?", e: "?", w: null}
83: {n: null, s: 76, e: 130, w: 125}
85: {n: null, s: null, e: 154, w: 75}
87: {n: null, s: 74, e: null, w: null}
89: {n: 50, s: "?", e: null, w: null}
92: {n: null, s: null, e: null, w: 59}
94: {n: 152, s: 69, e: null, w: null}
95: {n: 119, s: 53, e: null, w: "?"}
103: {n: 160, s: null, e: null, w: 69}
104: {n: 59, s: null, e: 107, w: null}
105: {n: 48, s: null, e: null, w: "?"}
107: {n: null, s: 120, e: 121, w: 104}
108: {n: 78, s: 117, e: null, w: null}
110: {n: null, s: null, e: 76, w: null}
